Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_101,RTA Taxi Rank Abu Hail Metro Station Seaside A,Hor Al Anz,مواقف مركبات الأجرة محطة مترو أبو هيل شمال A,هور العنز,25.276212,55.34732,Taxi stand
TXR_102,RTA Taxi Rank Abu Hail Metro Station B,Hor Al Anz,مواقف مركبات الأجرة محطة مترو أبو هيل ب,هور العنز,25.27624,55.346146,Taxi stand
TXR_103,RTA Taxi Rank Abu Hail Metro Station C,Salah Al Din Road,مواقف مركبات الأجرة محطة مترو أبو هيل ج,طريق صلاح الدين,25.275307,55.347157,Taxi stand
TXR_104,RTA Taxi Rank Sharaf DG Metro Station B 2,Al Souq Al Kabeer,مواقف مركبات الأجرة محطة مترو شرف دي جي ب 2,السوق الكبير,25.257434,55.296989,Taxi stand
TXR_105,RTA Taxi Rank Creek Metro Station,Al Jadaf,مواقف مركبات الأجرة محطة مترو الخور,الجداف,25.219494,55.338303,Taxi stand
TXR_106,"RTA Taxi Rank UAE Exchange Metro Station, Seaside  (Inside Jebel Ali Port)",Jebel Ali,مواقف مركبات الأجرة محطة مترو الإمارات العربية المتحدة للصرافة شمال (داخل ميناء جبل علي),جبل علي,24.97767,55.088664,Taxi stand
TXR_107,"RTA Taxi Rank UAE Exchange, Landside",Jebel Ali,مواقف مركبات الأجرة الإمارات العربية المتحدة للصرافة جنوب,جبل علي,24.976919,55.09116,Taxi stand
TXR_108,RTA Taxi Rank The Palm Jumeirah,The Palm Jumeirah,مواقف مركبات الأجرة جزيرة النخلة جميرا,جزيرة النخلة جميرا,25.116871,55.136336,Taxi stand
TXR_109,RTA Taxi Rank King Salman Bin Abdulaziz Al Soud St.,Behind Arjaan By Rotana Hotel,مواقف مركبات الأجرة شارع الملك سلمان بن عبد العزيز ال سعود,خلف فندق ارجان روتانا,25.094947,55.154394,Taxi stand
TXR_110,RTA Taxi Rank Al Thaniya Street Barsha Heights,Al Barsha Heights,مواقف مركبات الأجرة شارع الثنية برشا هايتس,البرشاء هايتس,25.095731,55.177456,Taxi stand
